,Land Medizinstudium,Anzahl,Anteil
0,Deutschland,54,29.508196721311474
1,Schweiz,35,19.12568306010929
2,Frankreich,29,15.846994535519126
3,Österreich,12,6.557377049180328
4,Griechenland,9,4.918032786885246
5,Italien,8,4.371584699453552
6,Russische Föderation,6,3.278688524590164
7,Belgien,4,2.185792349726776
8,Spanien,4,2.185792349726776
9,Rumänien,4,2.185792349726776
10,Polen,3,1.639344262295082
11,Grossbritannien,2,1.092896174863388
12,Slowenien,2,1.092896174863388
13,vorm. Jugoslawien,1,0.546448087431694
14,Argentinien,1,0.546448087431694
15,Marokko,1,0.546448087431694
16,Algerien,1,0.546448087431694
17,Portugal,1,0.546448087431694
18,Peru,1,0.546448087431694
19,Ägypten,1,0.546448087431694
20,vorm. Sowjetunion,1,0.546448087431694
21,Kroatien,1,0.546448087431694
22,Slowakei,1,0.546448087431694
23,Ukraine,1,0.546448087431694
