,Land Medizinstudium,Anzahl,Anteil
0,Schweiz,2544,57.621744054360136
1,Deutschland,991,22.446206115515288
2,Frankreich,202,4.575311438278596
3,Italien,151,3.420158550396376
4,Österreich,139,3.1483578708946776
5,Spanien,57,1.291053227633069
6,Rumänien,46,1.0419026047565119
7,vorm. Jugoslawien,42,0.9513023782559458
8,Griechenland,42,0.9513023782559458
9,Belgien,32,0.72480181200453
10,Polen,15,0.33975084937712347
11,Bulgarien,13,0.2944507361268403
12,Ungarn,12,0.2718006795016987
13,Algerien,11,0.2491506228765572
14,vorm. Sowjetunion,8,0.1812004530011325
15,Niederlande,8,0.1812004530011325
16,Portugal,7,0.15855039637599094
17,Russische Föderation,7,0.15855039637599094
18,Peru,6,0.13590033975084936
19,Slowakei,6,0.13590033975084936
20,Brasilien,6,0.13590033975084936
21,Tschechische Republik,5,0.11325028312570783
22,Serbien Republik,5,0.11325028312570783
23,Slowenien,4,0.09060022650056625
24,Grossbritannien,4,0.09060022650056625
25,Argentinien,4,0.09060022650056625
26,Kroatien,4,0.09060022650056625
27,Kuba,3,0.06795016987542468
28,Mexiko,3,0.06795016987542468
29,Ukraine,2,0.045300113250283124
30,Türkei,2,0.045300113250283124
31,Kasachstan,2,0.045300113250283124
32,Tunesien,2,0.045300113250283124
33,ehem. DDR,2,0.045300113250283124
34,Uruguay,2,0.045300113250283124
35,Kolumbien,2,0.045300113250283124
36,Bosnien und Herzegowina,2,0.045300113250283124
37,Syrien arabische Republik,2,0.045300113250283124
38,Schweden,1,0.022650056625141562
39,Marokko,1,0.022650056625141562
40,Lettland,1,0.022650056625141562
41,Ägypten,1,0.022650056625141562
42,Venezuela,1,0.022650056625141562
43,Armenien,1,0.022650056625141562
44,vorm. Tschechoslowakei,1,0.022650056625141562
45,Ecuador,1,0.022650056625141562
46,Norwegen,1,0.022650056625141562
47,Litauen,1,0.022650056625141562
48,Finnland,1,0.022650056625141562
49,Estland,1,0.022650056625141562
50,Irak,1,0.022650056625141562
51,Chile,1,0.022650056625141562
52,Serbien und Montenegro,1,0.022650056625141562
53,Moldawien,1,0.022650056625141562
54,Dominikanische Republik,1,0.022650056625141562
55,Weissrussland,1,0.022650056625141562
56,Madagaskar,1,0.022650056625141562
57,Iran,1,0.022650056625141562
