,Jahr,CH,Ausland,Total,CH %,Ausl %
0,1957,2,,2,100.0,
1,1960,1,,1,100.0,
2,1964,2,,2,100.0,
3,1967,4,,4,100.0,
4,1968,2,,2,100.0,
5,1969,5,,5,100.0,
6,1970,4,,4,100.0,
7,1971,4,,4,100.0,
8,1972,2,,2,100.0,
9,1973,11,,11,100.0,
10,1974,9,,9,100.0,
11,1975,15,,15,100.0,
12,1976,10,,10,100.0,
13,1977,18,,18,100.0,
14,1978,25,,25,100.0,
15,1979,18,,18,100.0,
16,1980,37,,37,100.0,
17,1981,40,,40,100.0,
18,1982,36,1.0,37,97.2972972972973,2.7027027027027026
19,1983,46,,46,100.0,
20,1984,59,,59,100.0,
21,1985,53,,53,100.0,
22,1986,69,,69,100.0,
23,1987,49,,49,100.0,
24,1988,77,,77,100.0,
25,1989,71,,71,100.0,
26,1990,79,,79,100.0,
27,1991,85,,85,100.0,
28,1992,74,1.0,75,98.66666666666667,1.3333333333333335
29,1993,65,2.0,67,97.01492537313433,2.9850746268656714
30,1994,73,1.0,74,98.64864864864865,1.3513513513513513
31,1995,82,,82,100.0,
32,1996,71,,71,100.0,
33,1997,69,1.0,70,98.57142857142858,1.4285714285714286
34,1998,70,,70,100.0,
35,1999,76,2.0,78,97.43589743589743,2.564102564102564
36,2000,58,,58,100.0,
37,2001,57,,57,100.0,
38,2002,109,150.0,259,42.084942084942085,57.91505791505791
39,2003,146,118.0,264,55.3030303030303,44.696969696969695
40,2004,72,81.0,153,47.05882352941176,52.94117647058824
41,2005,78,87.0,165,47.27272727272727,52.72727272727272
42,2006,91,101.0,192,47.39583333333333,52.604166666666664
43,2007,66,104.0,170,38.82352941176471,61.1764705882353
44,2008,103,118.0,221,46.60633484162896,53.39366515837104
45,2009,80,109.0,189,42.32804232804233,57.67195767195767
46,2010,74,104.0,178,41.57303370786517,58.42696629213483
47,2011,69,124.0,193,35.751295336787564,64.24870466321244
48,2012,74,203.0,277,26.714801444043324,73.28519855595668
49,2013,75,186.0,261,28.735632183908045,71.26436781609196
50,2014,56,195.0,251,22.31075697211155,77.68924302788844
51,2015,38,186.0,224,16.964285714285715,83.03571428571429
52,2016,41,197.0,238,17.22689075630252,82.77310924369748
53,2017,48,200.0,248,19.35483870967742,80.64516129032258
54,2018,50,161.0,211,23.696682464454977,76.30331753554502
55,2019,35,148.0,183,19.12568306010929,80.87431693989072
